Sector_score,LOCATION_ID,PARA_A,PARA_B,numbers,Money_Value,District_Loss,History,Score,Risk
3.89,23,4.18,2.5,5,3.38,2,0,2.4,1
3.89,6,0,4.83,5,0.94,2,0,2,0
3.89,6,0.51,0.23,5,0,2,0,2,0
3.89,6,0,10.8,6,11.75,2,0,4.4,1
3.89,6,0,0.08,5,0,2,0,2,0
3.89,6,0,0.83,5,2.95,2,0,2,0
3.89,7,1.1,7.41,5,44.95,2,0,3.2,1
3.89,8,8.5,12.03,5.5,7.79,2,0,4.2,1
3.89,8,8.4,11.05,5.5,7.34,2,0,4.2,1
3.89,8,3.98,0.99,5,1.93,2,0,2.4,0
3.89,8,5.43,10.77,5,4.42,2,0,3.6,1
3.89,8,15.38,40.14,5,0.96,2,1,4,1
3.89,8,5.47,7.63,5,10.43,2,1,3.6,1
3.89,8,1.09,0.35,5,0,2,0,2.2,0
3.89,8,0,0.84,5,0.007,2,0,2,0
3.89,13,1.95,9.01,5,9,2,0,3,1
3.89,37,8.54,31.63,5,41.28,2,1,4.2,1
3.89,37,4.18,4.83,5.5,14.03,2,0,3.2,1
3.89,37,1.81,1.03,5,0,2,0,2.2,0
3.89,37,4.86,46.78,5.5,63.18,2,0,4.4,1
3.89,24,6.26,14.1,5,34.24,2,1,4.2,1
3.89,3,0.02,5.94,5,0.01,2,0,2.6,0
3.89,3,5.31,22.79,5,205.19,2,1,4.2,1
3.89,3,0.94,0.01,5,0.1,2,0,2,0
3.89,4,5.78,57.92,5,11.16,2,0,4,1
3.89,4,7.42,2.24,5,1.25,2,0,2.4,1
3.89,4,0,1.1,5,0.007,2,0,2,0
3.89,14,6.85,31.76,5,1.46,2,0,3.6,1
3.89,14,0,1.03,5,0,2,0,2,0
3.89,37,0,0.75,5,6.78,2,0,2.2,0
3.89,37,2.4,16.63,5,1.16,2,0,3.6,1
3.89,5,0,0.05,5,152.41,2,0,2.4,1
3.89,5,0,1.76,5,1.08,2,0,2,0
3.89,5,0,2.97,5,2.84,2,0,2,0
3.89,5,0,0.43,5,0,2,0,2,0
3.89,5,0,0.94,5,0.9,2,0,2,0
3.89,20,9.01,19.82,5,9.67,2,0,3.8,1
3.89,19,0,0.05,5,0,2,0,2,0
3.89,19,11.95,30.9,5,32.68,2,0,4,1
3.89,19,7.97,17.18,5,935.03,2,0,4,1
3.89,19,0,3.71,5,29.63,2,0,2.4,1
3.89,19,0.62,2.02,5,0.11,2,0,2,0
3.89,19,0,2.27,5,2.62,2,0,2,0
3.89,19,0,0,5,0,2,0,2,0
3.89,19,1.32,0,5,0.06,2,0,2.2,0
3.89,19,0,1.03,5,2.43,2,0,2,0
3.89,21,0,15.38,5,126.13,2,0,3.6,1
3.89,21,0,1.02,5,0,2,0,2,0
3.89,21,0,20.71,5,20.79,2,2,4,1
3.89,22,2.95,6.56,5,156.92,2,0,3.4,1
3.89,22,1.97,2.1,5,12.29,2,0,3,1
3.89,22,0,18.05,5,2.29,2,0,3.2,1
3.89,22,0,0.93,5,7.78,2,0,2.2,0
3.89,9,0,1.61,5,2.51,2,0,2,0
3.89,9,6.32,9.01,5,8.31,2,0,3.2,1
3.89,9,0,1.05,5,0.16,2,0,2,0
3.89,11,0,6.8,5,47.9,2,0,3,1
3.89,11,14.04,10.83,5,8.91,2,0,3.8,1
3.89,11,6.67,18.02,5.5,4.95,2,2,4.4,1
3.89,11,0,0,5,1.75,2,0,2,0
3.89,11,0,0.08,5,0.68,2,0,2,0
3.89,11,1.26,0.05,5,0,2,0,2.2,0
3.89,12,0,0.03,5,0.06,2,0,2,0
3.89,12,0,0.79,5,15.82,2,0,2.4,1
3.89,12,4.76,13.03,5,0.58,2,1,3.8,1
3.89,12,8.81,9.02,5,215.31,2,1,3.6,1
3.89,12,0,0.07,5,0,2,0,2,0
3.89,12,13.92,2.2,5,0.05,2,0,2.4,1
3.89,12,1.07,0,5,0,2,0,2.2,0
3.89,12,0,0.89,5,0,2,0,2,0
3.89,8,0,3.98,6,53.34,2,0,3.2,1
3.89,8,10,74.26,5.5,11.16,2,3,4.8,1
3.89,29,4.24,8.06,5,10.69,2,0,3.4,1
3.89,29,12.27,72.46,5,5.69,2,0,3.8,1
3.89,29,0,0.96,5,1.35,2,0,2,0
3.89,30,12.7,1.28,5,11.69,2,0,2.8,1
3.89,38,0,63.13,5,14.6,2,1,3.8,1
3.89,31,1.99,10.24,5,20.78,2,0,3.8,1
3.89,2,0.05,0.21,5.5,102.22,2,0,2.8,1
3.89,2,0,7.37,5,0.74,2,0,2.6,0
3.89,2,0,3.72,5,0,2,9,2.4,1
3.89,2,71.48,25.63,5,873.37,2,0,4,1
3.89,2,0,0,5,0,2,0,2,0
3.89,2,0.74,1,5,0,2,0,2,0
3.89,2,0,0.58,5,0,2,0,2,0
3.89,9,8.46,72.76,5,1.4,2,2,4.2,1
3.89,9,0.42,0.07,5,0.42,2,0,2,0
3.89,32,0.01,1.29,5.5,36.52,4,0,3,1
3.89,32,6.85,65.93,5.5,6.02,4,0,4.4,1
3.89,32,5.37,8.62,5,17.16,4,0,3.6,1
3.89,32,4.93,6.54,5.5,12.91,4,0,4,1
3.89,32,1.22,0.06,5,0,4,0,2.4,0
3.89,32,0,0.85,5,0,4,0,2.2,0
3.89,16,15.72,57.94,6,10.79,6,0,5.2,1
3.89,16,4.95,42.61,5,3.46,6,1,4.2,1
3.89,16,0,0.08,5,0.06,6,0,2.4,1
3.89,16,1.19,12.88,5,2.33,6,0,3.8,1
3.89,16,0,2.72,5,5.58,6,0,2.6,1
3.89,16,0,1.66,5,0.76,6,0,2.4,1
3.89,16,6.47,12.18,5,25.27,6,0,4.4,1
3.89,16,1.33,0,5,0.2,6,0,2.6,1
3.89,16,0,1.1,5,0,6,0,2.4,1
3.89,33,2.57,4.49,5,7.56,2,1,2.8,1
3.89,15,0,1.88,5,0,2,0,2,0
3.89,15,0.77,18.31,5,67.03,2,0,3.6,1
3.89,15,5.23,5.89,5,19.4,2,0,3.4,1
3.89,15,6.59,23.66,5,34.83,2,1,4.2,1
3.89,15,7.18,14.63,5,98.75,2,0,4,1
3.89,15,1,0,5,0.36,2,0,2.2,0
3.89,13,0,0.06,5,0,2,0,2,0
3.89,13,2.63,2.55,5,0,2,0,2.4,0
3.89,13,0,0.87,5,0,2,0,2,0
3.89,36,10.96,41.47,5,35.21,2,1,4.2,1
3.89,6,0,0.23,5,0,2,0,2,0
3.41,34,4.25,45.51,5.5,8.2,2,0,4.2,1
3.41,18,1.98,51.42,5.5,20.33,2,1,4.4,1
3.41,25,1.44,29.25,5,35.13,2,0,3.8,1
3.41,39,1.52,37.33,5.5,63.7,2,0,4.2,1
3.41,39,3.63,10.85,5,0.28,2,0,3,1
3.41,2,1.35,66.35,5.5,27.13,2,3,4.6,1
3.41,39,9.97,88.73,5,10.27,2,0,4,1
3.41,27,1.41,36.16,5,13.05,2,0,4.2,1
3.41,8,1.98,67.91,5.5,18.79,2,1,4.4,1
3.41,11,10.08,22.31,5.5,16.82,2,0,4.4,1
3.41,11,1.44,9.65,6.5,10.03,2,0,4,1
3.41,12,25.4,51.74,5,12.67,6,2,4.8,1
3.41,12,3.21,72.07,5,13.79,6,1,4.6,1
3.41,9,12.28,20.62,5,10.16,2,1,4.2,1
3.41,9,6.93,70.26,5,9.73,2,0,3.8,1
3.41,16,3.34,37.59,5,26.95,2,0,4,1
3.41,13,15.66,74.53,5,29.07,2,0,4,1
3.41,13,2.92,5.24,5,9.76,2,0,3.2,1
3.41,37,0.83,28.06,5,13.31,2,0,3.6,1
3.41,13,1.97,30.25,5,0.68,2,0,3.4,1
3.41,5,10,47.9,5,7.7,2,0,3.8,1
3.41,35,13.06,45.42,5,10.4,2,0,4,1
